,asin,overall,review
1397612,B001DKMZ3G,5,These are great for someone who just uses colored pencils occasionally or casually. The variety of colors is good.  A great value! Excellent for the price
1397613,B001DKMZ3G,5,I love these. They blend really well and they don't break when you sharpen them like the Crayola ones do. I highly recommend these instead of Crayola. Great!
1397614,B001DKMZ3G,5,"We gave these to our daughters for Christmas to use with the Dover coloring books.  Great combination and the girls have been happily coloring for days now.  Better quality than Crayola, not as good as the super-duper art pencils.  Definitely good enough for us! Nice colored pencils"
1397615,B001DKMZ3G,5,"These are a great buy for the price.  Quality is adequate for children and adults.  Professional artists may want to look elsewhere, but for the rest of us....these are just fine. sargent art pencils"
1397616,B001DKMZ3G,5,Love these pencils!  Lots of vibrant colors.  They don't break.  The blend well together.  Sharpen nicely.  Best of all they are named!  I really hate it when these colored pencils aren't named or even numbered. Love these pencils
1397617,B001DKMZ3G,5,great set Five Stars
1397618,B001DKMZ3G,5,"Nice vibrant colors. Price is cheap, but pencils aren't. Five Stars"
1397619,B001DKMZ3G,5,My daughter can color. Five Stars
1397620,B001DKMZ3G,4,Good item Four Stars
1397621,B001DKMZ3G,5,good Five Stars
1397622,B001DKMZ3G,5,great product great product
1397623,B001DKMZ3G,2,They're not very pigmented. Two Stars
1397624,B001DKMZ3G,5,Great assortment of colors and visually vibrant on the paper they were used on. Great asdortment for the money.
1397625,B001DKMZ3G,4,"It's good value for all these pencils. Nice variety of colors.
However, a few broke in the middle and the colors are light. It's good value for all these pencils"
1397626,B001DKMZ3G,5,Nice set was bought as Christmas present for grandson who loves to draw. Five Stars
1397627,B001DKMZ3G,5,very nice my grand daughter loves them Five Stars
1397628,B001DKMZ3G,5,"Wonderful assortment of colors.  Good quality, great price Great Assortment"
1397629,B001DKMZ3G,5,I only buy Sargent. They last and the lead is easy to work with and price is very reasonable. They last and the lead is easy to work with and price is very reasonable
1397630,B001DKMZ3G,5,Got it for my son Five Stars
1397631,B001DKMZ3G,5,It was a gift I hope they loved it! Five Stars
